month,value,category
Januar,842,pos_Bew
Februar,449,pos_Bew
März,667,pos_Bew
April,768,pos_Bew
Mai,724,pos_Bew
Juni,978,pos_Bew
Juli,1006,pos_Bew
August,1043,pos_Bew
September,940,pos_Bew
Oktober,1021,pos_Bew
November,809,pos_Bew
Dezember,756,pos_Bew
Januar,466,Beitraege
Februar,281,Beitraege
März,328,Beitraege
April,549,Beitraege
Mai,407,Beitraege
Juni,473,Beitraege
Juli,383,Beitraege
August,354,Beitraege
September,470,Beitraege
Oktober,449,Beitraege
November,379,Beitraege
Dezember,340,Beitraege
Januar,23658,gelesen
Februar,19147,gelesen
März,20962,gelesen
April,22748,gelesen
Mai,22018,gelesen
Juni,27454,gelesen
Juli,25138,gelesen
August,17565,gelesen
September,18167,gelesen
Oktober,19714,gelesen
November,17675,gelesen
Dezember,18898,gelesen
